小区名;小区地址;建筑年代;建筑类型;物业费用;物业公司;开发商;楼栋总数;房屋总数;附近门店
汉荣家园;(海淀知春路)白塔庵5号;2000年建成;塔楼/板楼;1.85元/平米/月;北京铁直物业有限公司;北京正荣建设工程公司;3栋;453户;汉荣家园店/海淀白塔庵街道办事处汉荣家园1号楼一层北侧
621小区;(海淀清河)清河朱房村北13号楼;1960年建成;板楼;1元/平米/月;北京长城物业管理有限公司;无开发公司;15栋;737户;美和园店/海淀区美和园西区6号楼1层105
大泥湾;(海淀中关村)大泥湾;1980年建成;板楼;0.5元/平米/月;北京豪景物业管理有限公司;北京市房屋管理局;6栋;564户;知春里地铁店/科学院南路913号楼底商
静淑东里;(海淀学院路)学清路37号;2001年建成;塔楼/板楼;2元/平米/月;北京明海物业管理有限公司;北京海天房地产开发有限公司;3栋;408户;林大北路店/海淀区林业大学北路18号院3号楼底商
西三环北路82号院;(海淀甘家口)西三环北路82号院;1981年建成;塔楼/板楼;1.5元/平米/月;无物业管理服务;无开发商;6栋;451户;花园桥地铁店/西三环北路97号
交大东路31号院;(海淀西直门)交大东路31号院;1980年建成;塔楼/板楼/塔板结合/平房;0.8至1.5元/平米/月;单位自管物业;无开发商;12栋;594户;交大东路店/海淀区交大东路五十六号院1号楼一层（南向北第一间）
山水倾城;(海淀万柳)万柳东路怡水园;2003年建成;塔楼;1.98元/平米/月;北京天诺物业管理有限责任公司;北京住总集团房地产开发部宅开发公;4栋;314户;新起点店/海淀怡秀园9号楼6门612
北洼路28号院;(海淀紫竹桥)北洼路28号院;1996年建成;塔楼/板楼;2元/平米/月;单位自管物业;无开发商;3栋;355户;中海店/海淀北洼路28号商住楼B段一层
金隅美和园东区;(海淀清河)金隅美和园东区;2008年建成;板楼;0.98至2.98元/平米/月;北京金隅嘉华物业管理有限公司;北京金隅嘉业房地产开发公司;6栋;402户;美和园店/海淀区美和园西区6号楼1层105
京泉馨苑;(海淀西山)京泉馨苑南里;2005年建成;板楼;0.75元/平米/月;中海物业;北京青远房地产开发有限公司;23栋;1284户;御墅临枫店/海淀区闵庄路南侧御墅临枫锦园一区底商链家
北蜂窝路5号院;(海淀军博)北蜂窝5号院;1954年建成;塔楼/板楼/塔板结合;0.5至2.5元/平米/月;单位自管物业;无开发商;24栋;2568户;军博店/海淀区复兴路乙六号院5号楼底商
玉泉路16号院;(海淀玉泉路)玉泉路16号院;1960年建成;板楼;暂无信息;无物业管理服务;航空航天设计院;44栋;2220户;玉泉路店/石景山区玉泉路19号物美底商
软件园小区;(海淀中关村)中关村;1992年建成;板楼;0.5至0.6元/平米/月;科驻物业;北京中科院;4栋;310户;保福寺新店/海淀区中关村334楼4门103号
依都阁;(海淀西直门)西直门北大街甲1号;2002年建成;塔楼;2.86元/平米/月;北京圆都物业管理有限公司;北京筑鼎房地产开发有限公司;1栋;177户;天兆家园东门店/海淀区明光村16楼南侧
空间物理所小区;(海淀中关村)中关村南二条1号;1992年建成;板楼/塔板结合;0.5至0.6元/平米/月;北京科住物业管理有限公司;北京中科院;7栋;438户;保福寺新店/海淀区中关村334楼4门103号
倒座庙;(海淀苏州桥)倒座庙;1980年建成;板楼;1.5元/平米/月;北京北电华明物业管理有限公司;北京城建三建设集团有限公司;7栋;600户;万泉河路店/海淀区苏州街75号院22幢平方1号
知春路82号院;(海淀双榆树)知春路82号院;1985年建成;塔楼/板楼;1.33至2.72元/平米/月;单位自管物业;无开发商;10栋;824户;中关村东路店/海淀 区北京青云航空仪表有限公司北宿舍区第一管区57楼一层中间部分（中关村东路101-3）
花园村小区;(海淀甘家口)花园村;1970年建成;板楼/塔板结合/平房;0.6元/平米/月;北京首华物业管理有限公司;无开发商;13栋;724户;主语城店/海淀区首体南路9号主语家园17号楼1－103
新科祥园;(海淀中关村)科学院南路35号;2002年建成;塔楼/板楼/塔板结合;1.9至7.8元/平米/月;裕展物业;北京中科院;14栋;1701户;东南小区一店/海淀区中关村新科祥园7号楼1至2层
阜北小区;(海淀甘家口)阜成路北;1964年建成;板楼;0.1至0.6元/平米/月;单位自管物业;无开发商;15栋;1134户;甘家口地铁店/西城区阜成门外大街44号楼底商
二里庄北里;(海淀二里庄)二里庄北里;1992年建成;板楼;0.6元/平米/月;单位自管物业;北京城建集团有限责任公司;7栋;488户;二里庄南店/海淀区志新路16号底墒
师大北路21号院;(海淀小西天)师大北路21号院;1999年建成;塔板结合;1.5元/平米/月;街道办事处（委员会）代管物业;中华人民共和国国务院;2栋;617户;北师大店/西城区新街口外大街6-10
五棵松26号院;(海淀四季青)西四环北路五棵松路26号院;1998年建成;板楼/塔板结合;0.65至1.7元/平米/月;利群住宅合作社;北京城建三建设集团有限公司;4栋;257户;美丽园店/海淀区营慧寺美丽园中路美丽园小区西门底商
博望园;(海淀军博)羊坊店东路5号;2002年建成;塔楼;2.18元/平米/月;北京博望物业有限公司;麦科特集团;4栋;572户;北蜂窝铁道部店/海淀区北蜂窝路5号院底商4-2
王公坟社区;(海淀苏州桥)王公坟;1989年建成;板楼;0.5至2.39元/平米/月;北京海昊物业管理有限公司;无开发商;3栋;256户;万泉河路店/海淀区苏州街75号院22幢平方1号
交科院;(海淀小西天)西土城路8号院;1957年建成;塔楼/板楼/塔板结合/平房;1.5元/平米/月;单位自管物业;北京市房屋管理局;11栋;733户;蓟门东里店/北京市海淀区蓟门里小区南商业楼
乔建里;(海淀军博)乔建里;1980年建成;塔楼/板楼/塔板结合;0.4至2元/平米/月;单位自管物业;北京市大成房地产开发总公司;17栋;1296户;北蜂窝一店/北蜂窝路63号院底商
万寿园;(海淀万寿路)万寿路西街甲11号院;1998年建成;塔楼/塔板结合;1.8元/平米/月;单位自管物业;无开发商;4栋;532户;长安街店/海淀区复兴路丙65号(西翠路12号3-101)
永泰庄6号院;(海淀清河)永泰庄路6号院;1991年建成;板楼;0.65元/平米/月;单位自管物业;无开发商;5栋;294户;清景园店/海淀清景园4楼底商
德胜门西大街甲5号;(海淀新街口)德胜门西大街甲5号;1983年建成;塔楼/板楼/平房;0.5至1.2元/平米/月;北京地铁物业管理有限责任公司;北京地铁房地产开发经营公司;9栋;716户;远洋风景店/海淀区德胜门西大街15号8号楼底墒
天作国际中心;(海淀皂君庙)中关村南大街乙12号;2006年建成;塔楼/塔板结合;5.9至19.5元/平米/月;北京高力国际物业服务有限公司;北京东方家园房地产开发有限公司;3栋;1390户;韦伯豪家园店/海淀区韦伯豪家园6号楼对面链家地产
砂轮厂宿舍;(海淀清河)清河毛纺路19号院;1986年建成;板楼;0.6至0.8元/平米/月;无物业管理服务;无开发商;7栋;651户;强佑新城店/海淀清河嘉园东区1号楼-1层-104
北蜂窝中路甲8号院;(海淀军博)北蜂窝中路甲8号院;2003年建成;塔楼/板楼;2.25元/平米/月;单位自管物业;无开发商;4栋;588户;会城门店/海淀区北蜂窝中路甲8号
电信小区;(海淀军博)北蜂窝中路8号院;1979年建成;板楼;暂无信息;单位自管物业;电信局;14栋;1105户;北蜂窝一店/北蜂窝路63号院底商
农林科学院宿舍;(海淀四季青)曙光花园中路5号院;1980年建成;板楼;1至1.84元/平米/月;北京侬苑物业服务中心;无开发商;17栋;1013户;曙光花园中心店/海淀区彰化路曙光花园望山园10底商
海淀南路24号院;(海淀苏州桥)海淀南路24号院;1986年建成;板楼;2.15至2.28元/平米/月;北京首华物业管理有限公司;首开集团;7栋;421户;万泉河路店/海淀区苏州街75号院22幢平方1号
百朗园;(海淀五棵松)复兴路甲36号;2000年建成;塔板结合;2.58元/平米/月;北京宝联物业管理有限公司;北京金建房地产开发有限公司;1栋;443户;永定路一店/海淀区永定路西里二号楼首层
复兴路46号院;(海淀玉泉路)复兴路46号院;1988年建成;板楼/塔板结合;暂无信息;中铁建(北京)物业管理有限公司;无开发商;5栋;694户;十一店/海淀区复兴路46号院3号楼
景宜里;(海淀田村)畅茜园景宜里;2003年建成;板楼;1.8元/平米/月;街道办事处（委员会）代管物业;北京市大苑天地房地产开发有限公司;5栋;577户;畅茜园一店/海淀区畅茜园景宜里底商12号楼5号商铺
私摩空间;(海淀魏公村)法华寺27号;2004年建成;塔楼;2.8元/平米/月;北京恒宝升物业服务公司;北京海润房地产开发有限公司;1栋;204户;民族大学店/海淀区魏公村小区17号楼1层1门1号
科源小区;(海淀五道口)中关村北区;1958年建成;板楼;暂无信息;单位自管物业;北京中科院;47栋;1796户;中关村一小店/海淀中关村南二街十区平房
梅园甲;(海淀马连洼)马连洼梅园甲;1998年建成;板楼;0.9元/平米/月;北京东居物业管理有限公司;北京海开房地产股份有限公司;7栋;475户;圆明园西路店/海淀马连洼兰园小区14号楼2-15
车道沟东里;(海淀紫竹桥)车道沟东里;1986年建成;塔楼;2.17元/平米/月;北京房修一物业管理有限公司;无开发商;4栋;400户;紫竹桥店/海淀西三环北路车道沟东里底商37号门市房
高第小区;(海淀甘家口)增光路44号;1982年建成;板楼/塔板结合;2.5元/平米/月;北京德宏物业管理有限责任公司;暂无信息;5栋;781户;中海馥园一店/海淀增光路37号院中海馥园3号楼1层106
巨山馨苑;(海淀西山)四季青镇巨山路;2005年建成;板楼;0.5元/平米/月;街道办事处（委员会）代管物业;北京新凤凰城房地产开发有限公司;14栋;908户;暂无门店信息
海淀路小区;(海淀圆明园)海淀路, 海淀路8号;1975年建成;板楼;0.5元/平米/月;单位自管物业;无开发商;9栋;641户;中关村西区店/海淀区善缘街1号立方庭7号底商
中关村南大街40号;(海淀白石桥)白石桥路甲48号;1991年建成;塔楼;暂无信息;无物业管理服务;无开发商;3栋;528户;大慧寺店/海淀大慧寺路5号（粮店）
藤花紫院;(海淀牡丹园)花园北路25号, 龙翔路甲19号院;2010年建成;塔板结合;3.98元/平米/月;北京瑞家物业管理有限公司;北京华瑞兴业房地产开发有限公司;2栋;195户;马甸店/朝阳区华严北里甲一号
紫成嘉园;(海淀马连洼)厢黄旗东路紫成嘉园;2004年建成;板楼;2.36元/平米/月;北京盛德恒通物业服务有限公司;北京同创嘉业开发有限公司;19栋;1427户;博雅西园店/海淀区农大南路博雅西院1号楼5门
鲁艺上河村二区;(海淀世纪城)远大路上河村二区;2002年建成;板楼;3.5元/平米/月;北京龙城兴业物业管理有限公司;北京市鲁艺房地产开发有限责任公司;5栋;346户;上河村店/海淀区世纪城远大园四区甲1号楼
泽丰苑二期;(海淀五棵松)采石路6号院;2000年建成;板楼/塔板结合;1.03至2.28元/平米/月;北京佳邦物业管理有限公司;北京泽丰房地产开发有限公司;5栋;360户;玉海园五里店/海淀玉海园五里16号楼5门102号及6门101号
花园公寓;(海淀牡丹园)花园东路32号;2007年建成;塔楼;2.98元/平米/月;北京牡丹风情物业管理有限公司;北京市裕发东瑞房地产开发有限公司;1栋;314户;花园公寓店/海淀区花园东路30号花园饭店底墒
翠微嘉园;(海淀公主坟)翠微北里12号;2002年建成;塔板结合;1.98元/平米/月;北京市城堡物业管理有限公司;北京海育元亨房地产开发有限公司;1栋;246户;颐源居胜利一店/海淀翠微东里A1号楼
茂林居;(海淀军博)茂林居;1982年建成;塔楼/板楼;1至1.2元/平米/月;北京天岳恒房屋经营管理有限公司;暂无信息;15栋;1299户;北蜂窝铁道部店/海淀区北蜂窝路5号院底商4-2
御墅临枫锦园一区;(海淀西山)玉虹北街御墅临枫;2006年建成;板楼;3.1元/平米/月;和润物业;北京润地房地产综合开发有限公司;12栋;529户;御墅临枫店/海淀区闵庄路南侧御墅临枫锦园一区底商链家
机械研究院西区;(海淀紫竹桥)首体南路2号院;1975年建成;板楼;暂无信息;单位自管物业;无开发商;8栋;453户;主语城店/海淀区首体南路9号主语家园17号楼1－103
万寿路甲15号院四区;(海淀万寿路)万寿路甲十五号院四区;1984年建成;塔楼;2.17元/平米/月;北京房修一物业管理有限公司;无开发商;4栋;399户;阜成路一店/海淀区八宝庄小区40号楼一层7号
10号名邸;(海淀紫竹桥)紫竹院路81号院;2005年建成;塔板结合;3.6元/平米/月;北京明洁物业管理有限公司;北方房地产开发有限责任公司;2栋;262户;车道沟一店/海淀区车道沟10号院1号楼
北分厂;(海淀海淀北部新区)北分厂;1959年建成;板楼;暂无信息;单位自管物业;北京城建集团有限责任公司;21栋;1354户;暂无门店信息
劳动关系学院;(海淀甘家口)增光路45号院;1986年建成;板楼/塔板结合/平房;暂无信息;北京天鸿宝地物业管理经营有限公司;无开发商;18栋;945户;中海馥园一店/海淀增光路37号院中海馥园3号楼1层106
西单宿舍;(海淀牡丹园)花园北路38号;1986年建成;塔楼/板楼;暂无信息;北京西海房地产开发有限公司;北京西单佳慧房地产开发有限公司;5栋;540户;花园北路店/海淀区花园北路36号底墒
自由度;(海淀田村)永定河路26号;2002年建成;板楼/塔板结合;2至2.1元/平米/月;街道办事处（委员会）代管物业;北京通衢房地产开发有限责任公司;1栋;168户;定慧福里店/海淀区八里庄路62号院定慧福里2号楼底商
大慧寺12号院;(海淀白石桥)大慧寺12号;1981年建成;板楼/塔板结合;暂无信息;无物业管理服务;无开发商;4栋;394户;大慧寺店/海淀大慧寺路5号（粮店）
花园路3号院;(海淀牡丹园)花园路3号院;1987年建成;塔楼/板楼;1元/平米/月;单位自管物业;北京京科房地产开发有限责任公司;4栋;630户;金尚嘉园店/海淀区花园甲2号院2号楼1层2101
